fdc_id,food_name,wweia_category,wweia_category_description,food_group,meal_tags,serving_grams,calories,protein_g,carbohydrate_g,fat_g,fiber_g,sugars_g,sodium_mg,saturated_fat_g,vegetarian,vegan,minimally_processed,source
2709286,Ambrosia,6018,Other fruits and fruit salads,fruit,"breakfast,dinner,lunch",140.0,105.0,1.1,23.0,1.4,2.8,17.9,1.4,1.0,True,True,True,"USDA FoodData Central FNDDS 2021-2023, October 2024 release"
2709220,"Apple, baked",6002,Apples,fruit,"breakfast,dinner,lunch",140.0,158.2,0.4,31.8,4.3,3.5,26.6,5.6,2.3,True,True,True,"USDA FoodData Central FNDDS 2021-2023, October 2024 release"
2709196,"Apple, dried",6016,Dried fruits,fruit,"breakfast,dinner,lunch",40.0,97.2,0.4,26.4,0.1,3.5,22.9,34.8,0.0,True,True,True,"USDA FoodData Central FNDDS 2021-2023, October 2024 release"
2709215,"Apple, raw",6002,Apples,fruit,"breakfast,dinner,lunch",140.0,85.4,0.2,20.7,0.2,2.9,16.9,0.0,0.0,True,True,True,"USDA FoodData Central FNDDS 2021-2023, October 2024 release"
2709218,"Applesauce, flavored",6002,Apples,fruit,"breakfast,dinner,lunch",140.0,105.0,0.4,25.2,0.2,1.4,21.8,1.4,0.0,True,True,False,"USDA FoodData Central FNDDS 2021-2023, October 2024 release"
2709216,"Applesauce, regular",6002,Apples,fruit,"breakfast,dinner,lunch",140.0,105.0,0.4,25.2,0.2,1.4,21.8,1.4,0.0,True,True,True,"USDA FoodData Central FNDDS 2021-2023, October 2024 release"
2709217,"Applesauce, unsweetened",6002,Apples,fruit,"breakfast,dinner,lunch",140.0,72.8,0.4,17.2,0.2,1.5,13.5,1.4,0.0,True,True,False,"USDA FoodData Central FNDDS 2021-2023, October 2024 release"
2709222,"Apricot, canned",6018,Other fruits and fruit salads,fruit,"breakfast,dinner,lunch",140.0,79.8,0.9,19.4,0.2,2.1,17.3,4.2,0.0,True,True,True,"USDA FoodData Central FNDDS 2021-2023, October 2024 release"
2709197,"Apricot, dried",6016,Dried fruits,fruit,"breakfast,dinner,lunch",40.0,96.4,1.4,25.1,0.2,2.9,21.4,4.0,0.0,True,True,True,"USDA FoodData Central FNDDS 2021-2023, October 2024 release"
2709221,"Apricot, raw",6018,Other fruits and fruit salads,fruit,"breakfast,dinner,lunch",140.0,67.2,2.0,15.6,0.5,2.8,12.9,1.4,0.0,True,True,True,"USDA FoodData Central FNDDS 2021-2023, October 2024 release"
2709225,"Banana, baked",6004,Bananas,fruit,"breakfast,dinner,lunch",140.0,225.4,1.1,45.4,4.5,2.5,34.6,4.2,2.4,True,True,True,"USDA FoodData Central FNDDS 2021-2023, October 2024 release"
2709224,"Banana, raw",6004,Bananas,fruit,"breakfast,dinner,lunch",140.0,135.8,1.0,31.8,0.4,2.4,22.1,0.0,0.2,True,True,True,"USDA FoodData Central FNDDS 2021-2023, October 2024 release"
2709272,"Berries, frozen",6011,Blueberries and other berries,fruit,"breakfast,dinner,lunch",140.0,72.8,1.1,17.5,0.5,5.7,9.2,1.4,0.0,True,True,True,"USDA FoodData Central FNDDS 2021-2023, October 2024 release"
2709274,"Blackberries, frozen",6011,Blueberries and other berries,fruit,"breakfast,dinner,lunch",140.0,89.6,1.7,21.9,0.6,7.0,14.9,1.4,0.0,True,True,True,"USDA FoodData Central FNDDS 2021-2023, October 2024 release"
2709273,"Blackberries, raw",6011,Blueberries and other berries,fruit,"breakfast,dinner,lunch",140.0,60.2,1.9,13.5,0.7,7.4,6.8,1.4,0.0,True,True,True,"USDA FoodData Central FNDDS 2021-2023, October 2024 release"
2709276,"Bluberries, canned",6011,Blueberries and other berries,fruit,"breakfast,dinner,lunch",140.0,123.2,1.5,31.7,0.6,3.6,24.4,4.2,0.0,True,True,True,"USDA FoodData Central FNDDS 2021-2023, October 2024 release"
2709198,"Blueberries, dried",6016,Dried fruits,fruit,"breakfast,dinner,lunch",40.0,126.8,1.0,32.0,1.0,3.0,27.0,1.2,0.1,True,True,True,"USDA FoodData Central FNDDS 2021-2023, October 2024 release"
2709277,"Blueberries, frozen",6011,Blueberries and other berries,fruit,"breakfast,dinner,lunch",140.0,71.4,0.6,17.0,0.9,3.8,11.8,1.4,0.1,True,True,True,"USDA FoodData Central FNDDS 2021-2023, October 2024 release"
2709275,"Blueberries, raw",6011,Blueberries and other berries,fruit,"breakfast,dinner,lunch",140.0,89.6,1.0,20.4,0.4,3.4,13.1,0.0,0.0,True,True,True,"USDA FoodData Central FNDDS 2021-2023, October 2024 release"
2709226,"Cantaloupe, raw",6014,Melons,fruit,"breakfast,dinner,lunch",140.0,53.2,1.1,11.4,0.3,1.1,11.0,42.0,0.1,True,True,True,"USDA FoodData Central FNDDS 2021-2023, October 2024 release"
2709232,"Cherries, canned",6018,Other fruits and fruit salads,fruit,"breakfast,dinner,lunch",140.0,103.6,1.0,26.3,0.2,2.0,24.4,1.4,0.0,True,True,True,"USDA FoodData Central FNDDS 2021-2023, October 2024 release"
2709199,"Cherries, dried",6016,Dried fruits,fruit,"breakfast,dinner,lunch",40.0,133.2,0.5,32.2,0.3,1.0,26.9,5.2,0.1,True,True,True,"USDA FoodData Central FNDDS 2021-2023, October 2024 release"
